,company_industry,company_founded,company_revenue,company_name,company_location
1347,Consumer Durables,1983.0,$8B,Swatch Group,"Biel, Switzerland"
1348,Materials,2015.0,$6.6B,South32,"Perth, Australia"
1349,Construction,1955.0,$8.4B,China Overseas Grand Oceans Group,"Hong Kong, Hong Kong"
1350,Business Services & Supplies,1969.0,$11.3B,Tokyo Century,"Tokyo, Japan"
1351,Diversified Financials,1878.0,$1.2B,Japan Exchange Group,"Tokyo, Japan"
1352,Health Care Equipment & Services,1921.0,$6.3B,Terumo,"Tokyo, Japan"
1353,Construction,2008.0,$1.2B,LEG Immobilien AG,"Dusseldorf, Germany"
1354,Drugs & Biotechnology,1993.0,$5.1B,Sun Pharma Industries,"Mumbai, India"
1355,"Food, Drink & Tobacco",1870.0,$3.7B,Brown-Forman,"Louisville, Kentucky"
1356,Insurance,1892.0,$10.2B,Assurant,"New York, New York"
1357,"Food, Drink & Tobacco",1917.0,$10.3B,Ajinomoto,"Tokyo, Japan"
1358,Chemicals,2003.0,$14.6B,Indorama Ventures,"Bangkok, Thailand"
1359,Diversified Financials,2002.0,$2.6B,Taishin Financial Holdings,"Taipei, Taiwan"
1360,Capital Goods,1992.0,$10.4B,Zoomlion Heavy Industry,"Changsha, China"
1361,Capital Goods,,$13B,XCMG Construction Machinery,"Xuzhou, China"
1362,Construction,2007.0,$6.2B,Powerlong Real Estate,"Shanghai, China"
1363,Construction,,$8.9B,Yuexiu Property,"Hong Kong, Hong Kong"
1364,Health Care Equipment & Services,,$7.1B,Sonic Healthcare,"Sydney, Australia"
1365,Technology Hardware & Equipment,1992.0,$6.2B,NetApp,"San Jose, California"
1366,Media,1987.0,$5.6B,Wolters Kluwer,"Alphen aan Den Rijn, Netherlands"
1367,Oil & Gas Operations,1999.0,$19B,Galp Energia,"Lisbon, Portugal"
1368,IT Software & Services,2002.0,$2.5B,NEXON,"Tokyo, Japan"
1369,"Hotels, Restaurants & Leisure",1997.0,$1.5B,Royal Caribbean Group,"Miami, Florida"
1370,Diversified Financials,2004.0,$1.6B,Extra Space Storage,"Salt Lake City, Utah"
1371,Banking,1997.0,$6.9B,Shengjing Bank,"Shenyang, China"
1372,Food Markets,1975.0,$29.9B,X5 Retail Group,"Moscow, Russia"
1373,IT Software & Services,,$3B,Cadence Design,"San Jose, California"
1374,Banking,1954.0,$7.7B,VakifBank,"Istanbul, Turkey"
1375,Capital Goods,1990.0,$11.1B,AGCO,"Duluth, Georgia"
1376,Materials,1934.0,$15.7B,Shanxi Taigang Stainless,"Taiyuan, China"
1377,Retailing,1950.0,$7.2B,Grupo Elektra,"Mexico City, Mexico"
1378,Utilities,1989.0,$6.3B,SDIC Power Holdings,"Beijing, China"
1379,Diversified Financials,1999.0,$8.1B,Wuestenrot & Wuerttembergische,"Stuttgart, Germany"
1380,Business Services & Supplies,1998.0,$2B,MSCI,"New York, New York"
1381,Banking,1867.0,$4.5B,BPER Banca,"Modena, Italy"
1382,Construction,1936.0,$17B,Obayashi,"Tokyo, Japan"
1383,Banking,2011.0,$4.2B,BNK Financial Group,"Busan, South Korea"
1384,Materials,1949.0,$13.1B,Oji Holdings,"Tokyo, Japan"
1385,IT Software & Services,2007.0,$11.4B,Spotify Technology,"Luxembourg, Luxembourg"
1386,Health Care Equipment & Services,1957.0,$3.2B,Coloplast,"Humlebaek, Denmark"
1387,Trading Companies,2006.0,$17B,Brenntag,"Essen, Germany"
1388,"Food, Drink & Tobacco",1993.0,$10.1B,Wens Foodstuff Group,"Yunfu, China"
1389,Insurance,,$9.2B,First American Financial,"Santa Ana, California"
1390,Diversified Financials,2014.0,$1.6B,Euronext,"Amsterdam, Netherlands"
1391,Banking,2006.0,$1.1B,Masraf Al Rayan,"Doha, Qatar"
1392,IT Software & Services,1999.0,$7.1B,MercadoLibre,"Montevideo, Uruguay"
1393,Materials,1959.0,$7.7B,Packaging Corp of America,"Lake Forest, Illinois"
1394,Materials,1871.0,$15.6B,Mitsubishi Materials,"Tokyo, Japan"
1395,Diversified Financials,,$2.1B,Wharf Real Estate Investment,Hong Kong
1396,Materials,1967.0,$14.3B,Berry Global Group,"Evansville, Indiana"
1397,Materials,1993.0,$17.6B,Maanshan Iron & Steel,"Wanchai, China"
1398,Health Care Equipment & Services,1947.0,$5.1B,PerkinElmer,"Waltham, Massachusetts"
1399,Diversified Financials,2013.0,$3.5B,Navient,"Wilmington, Delaware"
1400,Media,1973.0,$7.8B,RTL Group,"Luxembourg, Luxembourg"
1401,Food Markets,1940.0,$13.4B,Kesko,"Helsinki, Finland"
1402,Diversified Financials,1982.0,$2.1B,Samsung Securities,"Seoul, South Korea"
1403,Construction,1997.0,$13B,Quanta Services,"Houston, Texas"
1404,Construction,1993.0,$10B,Beijing Capital Development,"Beijing, China"
1405,Business Services & Supplies,2008.0,$5.5B,Far East Horizon,"Hong Kong, Hong Kong"
1406,Automotive (Automotive and Suppliers),1997.0,$18.5B,Faurecia,"Paris, France"
1407,Business Services & Supplies,1986.0,$2.5B,Indian Railway Finance,"New Delhi, India"
1408,Telecommunications Services,1991.0,$988M,Liberty Broadband,"Englewood, Colorado"
1409,Trading Companies,,$72B,Xiamen International Trade Group,"Xiamen, China"
1410,Travel & Leisure      ,2008.0,$6B,AirBnB,"San Francisco, California"
1411,Retailing,,$26.3B,China Grand Automotive Services,"Shanghai, China"
1412,Transportation,1995.0,$10.4B,China Eastern Airlines,"Shanghai, China"
1413,Business Services & Supplies,1996.0,$24.8B,Adecco,"Zurich, Switzerland"
1414,Diversified Financials,2008.0,$2B,AGNC Investment,"Bethesda, Maryland"
1415,Capital Goods,1869.0,$7.8B,Westinghouse Air Brake Technologies,"Pittsburgh, Pennsylvania"
1416,Transportation,1919.0,$6.5B,Kawasaki Kisen Kaisha,"Tokyo, Japan"
1417,Food Markets,1963.0,$23.3B,Empire,"Stellarton, Canada"
1418,"Food, Drink & Tobacco",1998.0,$14B,Guangdong Haid Group,"Guangzhou, China"
1419,Consumer Durables,1921.0,$5B,Shimano,"Sakai, Japan"
1420,Banking,1911.0,$4.7B,Attijariwafa Bank,"Casablanca, Morocco"
1421,Business Services & Supplies,2009.0,$2.6B,Chailease Holding,"Taipei, Taiwan"
1422,Health Care Equipment & Services,1932.0,$12.4B,Henry Schein,"Melville, New York"
1423,"Food, Drink & Tobacco",1899.0,$11.5B,Suntory Beverage & Food,"Tokyo, Japan"
1424,Conglomerates,1991.0,$3.7B,Mettler-Toledo International,"Columbus, Ohio"
1425,Diversified Financials,1704.0,$8.9B,Wendel,"Paris, France"
1426,Oil & Gas Operations,1897.0,$13.2B,Osaka Gas,"Osaka, Japan"
1427,Consumer Durables,1980.0,$14.9B,Thor Industries,"Elkhart, Indiana"
1428,Retail and Wholesale,1956.0,$8.2B,Williams-Sonoma,"San Francisco, California"
1429,Transportation,,$71.6B,Xiamen Xiangyu,"Xiamen, China"
1430,Automotive,2009.0,$55M,Rivian,"Irvine, California"
1431,Transportation and Logistics,2006.0,$12.2B,KION Group,"Frankfurt am Main, Germany"
1432,Construction,1993.0,$10.3B,Sino-Ocean Group Holding,"Beijing, China"
1433,Chemicals,1892.0,$8.9B,Olin,"Clayton, Missouri"
1434,Diversified Financials,1973.0,$1.4B,Kimco Realty,"Jericho, New York"
1435,Banking,1996.0,$3.9B,Bank of Chongqing,"Chongqing, China"
1436,Technology Hardware & Equipment,2000.0,$3.3B,Fortinet,"Sunnyvale, California"
1437,Household & Personal Products,1846.0,$5.2B,Church & Dwight,"Ewing, New Jersey"
