,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
727,,United States," 7,100", 1983,"SanJose,CA,UnitedStates",Semiconductors,$23.44 B,"Maxim Integrated Products, Inc.",MXIM
728," Mr. Ralph Tendai Mupita B.Sc., M.B.A.",South Africa," 21,975",,"Johannesburg,SouthAfrica",Telecom Services,$23.45 B,MTN Group Ltd,MTN
729,,Japan," 43,293",,"Osaka,Japan",Farm & Heavy Construction Machinery,$23.46 B,Kubota Corp,6326
730, Mr. Philip Kelvin Rodda Pascall,Canada," 20,000", 1983,"Toronto,ON,Canada",Copper,$23.47 B,First Quantum Minerals Ltd.,FM
731,,Indonesia," 37,840",,"Jakarta,Indonesia",Banks,$23.51 B,PT Bank Mandiri (Persero) Tbk,PQ9
732, Mr. Vincent  Warnery,Germany," 20,567",,"Hamburg,Germany",Household & Personal Products,$23.51 B,Beiersdorf AG,BEI
733, Mr. Ren Xian  Cao,China," 4,492",,"Hefei,China",Electrical Equipment & Parts,$23.55 B,Sungrow Power Supply Co. Ltd,300274
734, Mr. James M. Loree,United States," 71,300", 1843,"NewBritain,CT,UnitedStates",Tools & Accessories,$23.57 B,"Stanley Black & Decker, Inc.",SWK
735,,China," 47,710",,"Shanghai,China",Steel,$23.59 B,Baoshan Iron & Steel Co. Ltd,600019
736, Mr. Timothy P. Walbert,Ireland," 1,890", 2005,"Dublin,Ireland",Drug ManufacturersâGeneral,$23.64 B,Horizon Therapeutics Public Limited Company,HZNP
737, Mr. Florent  Menegaux,France," 118,400",,"Clermont-Ferrand,France",Auto Parts,$23.65 B,Compagnie GÃ©nÃ©rale des Etablissements Michelin SCA,ML
738, Mr. Alistair  Phillips-Davies,United Kingdom," 11,865", 1998,"Perth,UnitedKingdom",UtilitiesâDiversified,$23.73 B,SSE plc,SSE
739, Mr. Jose Damian  Bogas Galvez,Spain," 9,258",,"Madrid,Spain",UtilitiesâRegulated Electric,$23.78 B,"Endesa, SA",ELE
740, Ms. Debra A. Cafaro,United States, 434, 1998,"Chicago,IL,UnitedStates",REITâHealthcare Facilities,$23.81 B,"Ventas, Inc.",VTR
741,,China," 9,669",,"Huizhou,China",Electrical Equipment & Parts,$23.82 B,EVE Energy Co. Ltd,300014
742, Mr. Graham Vivian Smith,United States," 7,500", OctoberÂ 2003,"SanFrancisco,CA,UnitedStates",SoftwareâInfrastructure,$23.84 B,Splunk Inc.,SPLK
743,,Japan," 8,249",,"Tokyo,Japan",Health Information Services,$23.89 B,"M3, Inc.",2413
744, Mr. Leo P. Denault,United States," 12,369", 1913,"NewOrleans,LA,UnitedStates",UtilitiesâDiversified,$23.92 B,Entergy Corporation,ETR
745, Mr. Daniel A. Carestio,Ireland," 13,000", 1985,"Dublin,Ireland",Medical Instruments & Supplies,$23.93 B,STERIS plc,STE
746, Ms. Corie Sue Barry,United States," 57,750"," AugustÂ 22, 1966","Richfield,MN,UnitedStates",Specialty Retail,$23.93 B,"Best Buy Co., Inc.",BBY
747,,China," 9,994",,"Beijing,China",Capital Markets,$23.94 B,CSC Financial Co. Ltd,601066
748, Mr. C. Howard Nye,United States," 10,000", 1993,"Raleigh,NC,UnitedStates",Building Materials,$23.94 B,"Martin Marietta Materials, Inc.",MLM
749, Mr. Makoto  Inoue,Japan," 33,153",,"Tokyo,Japan",Credit Services,$23.97 B,ORIX Corporation,8591
750, Mr. Silvio  Napoli,Switzerland," 69,015",,"Hergiswil,Switzerland",Specialty Industrial Machinery,$24.02 B,Schindler Holding AG,SCHN
751,,Russia,,,"Moscow,Russia",Gold,$24.02 B,Public Joint Stock Company Polyus,PLZL
752,,Taiwan," 9,594",,"Taipei,Taiwan",Banks,$20.21 B,Mega Financial Holding Co. Ltd,2886
753, Mr. William Joseph Hornbuckle IV,United States," 52,000", 1986,"LasVegas,NV,UnitedStates",Resorts & Casinos,$20.22 B,MGM Resorts International,MGM
754, Mr. Shingo  Konomoto,Japan," 16,196",,"Tokyo,Japan",Information Technology Services,$20.26 B,Nomura Research Institute Ltd,4307
755," Mr. J. Powell Brown C.P.C.U., CPCU",United States," 12,023", 1939,"DaytonaBeach,FL,UnitedStates",Insurance Brokers,$20.27 B,"Brown & Brown, Inc.",BRO
756, Mr. Thomas Sinnickson Gayner,United States," 20,300", 1930,"GlenAllen,VA,UnitedStates",InsuranceâProperty & Casualty,$20.30 B,Markel Corporation,MKL
757, Mr. Ernest C. Garcia III,United States," 21,000", 2012,"Tempe,AZ,UnitedStates",Internet Retail,$20.33 B,Carvana Co.,CVNA
758,,Japan," 27,318",,"Osaka,Japan",Specialty Chemicals,$20.38 B,Nippon Paint Holdings Co. Ltd,4612
759,,China," 15,198",,"Shanghai,China",Capital Markets,$20.39 B,Guotai Junan Securities Co. Ltd,601211
760, Mr. Junichi  Yoshida,Japan," 9,982",,"Tokyo,Japan",Real EstateâDiversified,$20.39 B,Mitsubishi Estate Co. Ltd,8802
761, Mr. Johan  Hjertonsson MBA,Sweden," 8,001",,"Gothenburg,Sweden",Asset Management,$20.39 B,Investment AB Latour,LATO.B
762,,Saudi Arabia," 3,280",,"Riyadh,SaudiArabia",Banks,$20.41 B,Alinma Bank,1150
763, Mr. Brian D. Doubles,United States," 18,000"," SeptemberÂ 12, 2003","Stamford,CT,UnitedStates",Credit Services,$20.43 B,Synchrony Financial,SYF
764, Mr. Owen David Thomas,United States, 743, 1970,"Boston,MA,UnitedStates",REITâOffice,$20.54 B,"Boston Properties, Inc.",BXP
765, Mr. Masayoshi  Fujimoto,Japan," 19,463",,"Tokyo,Japan",Conglomerates,$20.55 B,Sojitz Corp,2768
766, Mr. Jeremy Peter Jackson,Ireland," 16,813", 2 February 2016,"Dublin,Ireland",Gambling,$20.58 B,Flutter Entertainment plc,FLTR
767, Mr. J. Scott Burrows,Canada," 2,349",,"Calgary,AB,Canada",Oil & Gas Midstream,$20.61 B,Pembina Pipeline Corporation,PPL
768, Mr. Hideo  Tanimoto,Japan," 78,490",,"Kyoto,Japan",Consumer Electronics,$20.62 B,Kyocera Corp,6971
769, Mr. Somchai  Lertsutiwong,Thailand,,,"Bangkok,Thailand",Telecom Services,$20.65 B,Advanced Info Service PCL,ADVANC
770, Mr. Walter M. Rosebrough Jr.,United States,,,"Mentor,OH,UnitedStates",Medical Devices,$20.66 B,STERIS Corp,S1TE34
771, Mr. Garrick J. Rochow,United States," 8,504", 1886,"Jackson,MI,UnitedStates",UtilitiesâRegulated Electric,$20.73 B,CMS Energy Corporation,CMS
772, Mr. Ning  Li,China," 4,019",,"Beijing,China",Leisure,$20.75 B,Li Ning Co Ltd,2331
773,,United Kingdom," 81,770"," As Chartered Bank of India, Australia, and China on 29Â December 1853","London,UnitedKingdom",Banks,$20.78 B,Standard Chartered plc,STAN
774, Mr. Masumi  Kakinoki,Japan,,,"Tokyo,Japan",Conglomerates,$20.78 B,Marubeni Corp,8002
775, Mr. Josu Jon  Imaz San Miguel Ph.D.,Spain," 23,268",,"Madrid,Spain",Oil & Gas Integrated,$20.80 B,Repsol SA,REP
776, Mr. Jason T. Liberty,United States," 84,900", 1997Â ,"Miami,FL,UnitedStates",Travel Services,$20.81 B,Royal Caribbean Cruises Ltd.,RCL
777, Mr. Adam Arash Foroughi,United States," 1,594",,"PaloAlto,CA,UnitedStates",SoftwareâApplication,$20.86 B,AppLovin Corp,APP
778, Mr. James A. Lico,United States," 18,000", 2016,"Everett,WA,UnitedStates",Scientific & Technical Instruments,$20.88 B,Fortive Corporation,FTV
779, Mr. Ronald F. Clarke,United States," 9,700", 2000,"Atlanta,GA,UnitedStates",Information Technology Services,$20.92 B,"FLEETCOR Technologies, Inc.",FLT
780, Ms. Yamini  Rangan,United States," 5,895", June 2006,"Cambridge,MA,UnitedStates",SoftwareâApplication,$20.93 B,"HubSpot, Inc.",HUBS
781, Mr. Ganesh  Moorthy,United States," 19,500", 1989,"Chandler,AZ,UnitedStates",Semiconductors,$21.03 B,Microchip Technology Incorporated,MCHP
782, Mr. Arkady  Volozh,Netherlands," 18,004", 23 September 1997,"Schiphol,Netherlands",Internet Content & Information,$21.05 B,Yandex N.V.,YNDX
783, Mr. David John Rivers Sleath O.B.E.,United Kingdom, 385, 1920,"London,UnitedKingdom",REITâIndustrial,$21.08 B,SEGRO plc,SGRO
784, Mr. Vicente  Reynal,United States," 16,000", 1859,"Davidson,NC,UnitedStates",Specialty Industrial Machinery,$21.13 B,Ingersoll Rand Inc.,IR
785, Mr. Minfang  Lu,Hong Kong," 43,397",,"CausewayBay,HongKong",Packaged Foods,$21.17 B,China Mengniu Dairy Co Ltd,2319
786, Dr. William David Mosley,Ireland," 40,000"," NovemberÂ 1, 1979","Dublin,Ireland",Computer Hardware,$21.21 B,Seagate Technology plc,STX
787,,China," 9,111",,"Baotou,China",Other Industrial Metals & Mining,$21.21 B,China Northern Rare Earth,600111
788, Mr. Robert Marc Bakish,United States," 22,965"," DecemberÂ 4, 2019","NewYork,NY,UnitedStates",Entertainment,$21.22 B,ViacomCBS Inc.,VIACA
789, Mr. Henry L. Schuck,United States," 2,742", 2007,"Vancouver,WA,UnitedStates",SoftwareâApplication,$21.23 B,ZoomInfo Technologies Inc.,ZI
790," Mr. Randy V. J. Smallwood P.Eng, P.Eng.",Canada, 44, 2004,"Vancouver,BC,Canada",Gold,$21.26 B,Wheaton Precious Metals Corp.,WPM
791, Mr. John M. Turner Jr.,United States," 19,626", 1971,"Birmingham,AL,UnitedStates",Banks,$21.32 B,Regions Financial Corporation,RF
792, Dr. Nigel David Wilson,United Kingdom," 10,046", 1836,"London,UnitedKingdom",InsuranceâLife,$21.34 B,Legal & General Group plc,LGEN
793, Mr. Albert G. White III,United States," 12,000", 1958Â ,"SanRamon,CA,UnitedStates",Medical Instruments & Supplies,$21.35 B,"The Cooper Companies, Inc.",COO
794, Mr. Owen  Mahoney,Japan," 6,288",,"Tokyo,Japan",Electronic Gaming & Multimedia,$21.36 B,NEXON Co. Ltd,3659
795, Mr. Paulo Junqueira Moll,Brazil,,,"SaoPaulo,SP,Brazil",Medical Care Facilities,$21.40 B,Rede D'Or SÃ£o Luiz SA,RDOR3
796," Mr. Donald R. Lindsay B.Sc. Honours, M.B.A",Canada," 10,600",,"Vancouver,BC,Canada",Other Industrial Metals & Mining,$21.41 B,Teck Resources Limited,TECK.B
797,,Switzerland," 96,216",,"Geneva,Switzerland",Consulting Services,$21.43 B,SGS SA,SGSN
798, Mr. Anthony William Cripps,Saudi Arabia," 4,156",,"Riyadh,SaudiArabia",Banks,$21.45 B,The Saudi British Bank,1060
799, Mr. Masanobu  Komoda,Japan," 23,992",,"Tokyo,Japan",Real EstateâDiversified,$21.46 B,Mitsui Fudosan Co. Ltd,8801
800, Mr. John N. Roberts III,United States," 33,045"," AugustÂ 10, 1961","Lowell,AR,UnitedStates",Integrated Freight & Logistics,$21.48 B,"J.B. Hunt Transport Services, Inc.",JBHT
801, Mr. Antoine  FrÃÂ©rot,France," 171,450",,"Aubervilliers,France",Waste Management,$18.14 B,Veolia Environnement SA,VIE
802, Engineer Daniel  BeneÃÂ,Czechia," 28,000",,"Prague,Czechia",                                        UtilitiesâRenewable                                    ,$18.16 B,CEZ AS,CEZ
803, Ms. Joey  Wat,China," 147,000"," NovemberÂ 1,Â 2016","Shanghai,China",Restaurants,$18.18 B,"Yum China Holdings, Inc.",YUMC
804,,Canada," 5,700"," DecemberÂ 15, 2014","Toronto,ON,Canada",Restaurants,$18.19 B,Restaurant Brands International Inc.,QSR
805," Mr. Gerhardus Metselaar Fourie B.Com., M.B.A., B.Comm (Hons), MBA",South Africa," 14,789",,"Stellenbosch,SouthAfrica",Banks,$18.21 B,Capitec Bank Holdings Ltd,CPI
806, Mr. Atsushi  Katsuki,Japan," 30,020",,"Tokyo,Japan",BeveragesâBrewers,$18.21 B,Asahi Group Holdings Ltd,2502
807,,China," 11,282",,"Shanghai,China",Capital Markets,$18.23 B,Haitong Securities Co. Ltd,600837
808, Mr. John R. Chiminski,United States," 17,300", 2007,"Somerset,NJ,UnitedStates",Drug ManufacturersâSpecialty & Generic,$18.24 B,"Catalent, Inc.",CTLT
809, Mr. Earl C. Austin Jr.,United States," 43,700", 1997,"Houston,TX,UnitedStates",Engineering & Construction,$18.25 B,"Quanta Services, Inc.",PWR
810, Mr. Robert J. Pera,United States," 1,223", OctoberÂ 2003,"NewYork,NY,UnitedStates",Communication Equipment,$18.25 B,Ubiquiti Inc.,UI
811, Dr. Isao  Teshirogi Ph.D.,Japan," 5,485",,"Osaka,Japan",Drug ManufacturersâSpecialty & Generic,$18.27 B,Shionogi & Co. Ltd,4507
812, Mr. Kwok Lung  Hongchoy,Hong Kong," 1,100",,"KwunTong,HongKong",REITâRetail,$18.27 B,Link Real Estate Investment Trust,0823
813,,Japan," 155,578",,"Chiba,Japan",Department Stores,$18.32 B,Aeon Co. Ltd,8267
814," Dr. Yvonne L. Greenstreet M.B.A., MBA, MBChB",United States," 1,665", 2002,"Cambridge,MA,UnitedStates",Biotechnology,$18.33 B,"Alnylam Pharmaceuticals, Inc.",ALNY
815,,China," 10,169",,"Shenzhen,China",Capital Markets,$18.35 B,China Merchants Securities Co. Ltd,600999
816, Mr. Strauss H. Zelnick Esq.,United States," 6,495"," SeptemberÂ 30, 1993","NewYork,NY,UnitedStates",Electronic Gaming & Multimedia,$18.35 B,"Take-Two Interactive Software, Inc.",TTWO
817, Mr. Mohamed Shameel Aziz Joosub,South Africa," 7,642",,"Midrand,SouthAfrica",Telecom Services,$18.41 B,Vodacom Group Ltd,VOD
818, Mr. Paul D. Donahue,United States," 52,000", 1925,"Atlanta,GA,UnitedStates",Specialty Retail,$18.41 B,Genuine Parts Company,GPC
819,,China," 12,307",,"Guangzhou,China",Capital Markets,$18.44 B,GF Securities Co. Ltd,000776
820, Mr. Laurans A. Mendelson,United States," 5,600", 1957 as Heinicke Instruments,"Hollywood,FL,UnitedStates",Aerospace & Defense,$18.49 B,HEICO Corporation,HEI
821, Mr. Robert Glen Goldstein,Macao," 25,751",,"Taipa,Macao",                                        Resorts & Casinos                                    ,$18.52 B,Sands China Ltd,1928
822,,China," 57,513", 30Â JuneÂ 1994 in Beijing,"Beijing,China",UtilitiesâIndependent Power Producers,$18.57 B,"Huaneng Power International, Inc.",600011
823," Mr. Graham  Kerr BBus, FCPA",Australia," 13,576",,"Perth,WA,Australia",Other Industrial Metals & Mining,$18.67 B,South32 Limited,S32
824, Mr. Enlin  Jin,China," 2,576",,"Beijing,China",Medical Care Facilities,$18.69 B,"JD Health International, Inc.",8ZN
825,,China," 132,125",,"Beijing,China",Engineering & Construction,$18.69 B,Power Construction Corp of China Ltd,601669
826,,China," 89,373",,"Beijing,China",Airlines,$18.72 B,Air China Ltd,601111
827, Dr. Thomas P. Gottstein,Switzerland," 50,110", 1856,"Zurich,Switzerland",Banks,$18.72 B,Credit Suisse Group AG,CSGN
828,,United States, 84, 1991,"Englewood,CO,UnitedStates",Broadcasting,$18.74 B,The Liberty SiriusXM Group,LSXMB
829, Mr. Noriyuki  Hara,Japan," 41,501",,"Tokyo,Japan",InsuranceâProperty & Casualty,$18.75 B,"MS&AD Insurance Group Holdings, Inc.",8725
830, Mr. Thomas M. Herzog,United States, 196, 1985,"Denver,CO,UnitedStates",REITâHealthcare Facilities,$18.76 B,"Healthpeak Properties, Inc.",PEAK
831, Mr. George  Kurian,United States," 11,000", 1992,"Sunnyvale,CA,UnitedStates",Computer Hardware,$18.76 B,"NetApp, Inc.",NTAP
832," Mr. Galen G. Weston B.A., M.B.A, M.B.A.",Canada," 215,298"," Toronto, Ontario, Canada 1882","Toronto,ON,Canada",Grocery Stores,$18.77 B,George Weston Limited,WN
833,,United Kingdom,, 1909,,Asset Management,$18.78 B,Scottish Mortgage Investment Trust plc,SMT
834,,United States," 49,300", 1898,"Memphis,TN,UnitedStates",Packaging & Containers,$18.78 B,International Paper Company,INPAP
835,,China," 34,977",,"Xi'an,China",Aerospace & Defense,$18.79 B,"Aecc Aviation Power Co.,Ltd",600893
836, Mr. John D. Wren,United States," 71,700", 1986,"NewYork,NY,UnitedStates",Advertising Agencies,$18.80 B,Omnicom Group Inc.,OMC
837,,Indonesia," 123,894",,"Jakarta,Indonesia",Auto Parts,$18.90 B,Astra International Tbk PT,ASJA
838, Mr. Joo-Wan  Cho,South Korea," 37,245",,"Seoul,SouthKorea",Consumer Electronics,$18.91 B,"LG Electronics, Inc.",066570
839, Mr. Taro  Shimada,Japan," 117,300",,"Tokyo,Japan",Specialty Industrial Machinery,$18.93 B,Toshiba Corp,6502
840, Mr. Gil  Shwed,Israel," 6,000", 1993,"TelAviv,Israel",SoftwareâInfrastructure,$18.94 B,Check Point Software Technologies Ltd.,CHKP
841, Mr. Bruce Winfield Van Saun,United States," 17,463", 1828,"Providence,RI,UnitedStates",Banks,$18.95 B,"Citizens Financial Group, Inc.",CFG
842, Mr. Paolo  Rocca,Luxembourg," 22,776", 2001,"LuxembourgCity,Luxembourg",                                        Oil & Gas Equipment & Services                                    ,$18.98 B,Tenaris SA,TEN
843, Mr. Tatsuo  Higuchi,Japan," 33,151",,"Tokyo,Japan",Drug ManufacturersâGeneral,$19.03 B,Otsuka Holdings Co. Ltd,4578
844, Dr. Udit  Batra Ph.D.,United States," 7,800", 1958,"Milford,MA,UnitedStates",Diagnostics & Research,$19.11 B,Waters Corporation,WAT
845,,Israel," 6,800", 1986,"RaÃ¢ÂÂanana,Israel",SoftwareâApplication,$19.12 B,NICE Ltd.,NICE
846, Mr. Cees C. ÃÂ´t Hart,Denmark," 39,000",,"Copenhagen,Denmark",BeveragesâBrewers,$19.12 B,Carlsberg A-S,CARL.A
847, Mr. William C. Stone,United States," 24,900"," MarchÂ 1, 1986","Windsor,CT,UnitedStates",SoftwareâApplication,$19.15 B,"SS&C Technologies Holdings, Inc.",SSNC
848,,China," 8,079",,"Tongxiang,China",Other Industrial Metals & Mining,$19.20 B,Zhejiang Huayou Cobalt Co. Ltd,603799
849, Mr. Stephen Forbes Cooper,United States," 5,900"," AprilÂ 6, 1958","NewYork,NY,UnitedStates",Entertainment,$19.21 B,Warner Music Group Corp.,WMG
850, Mr. Anders  Opedal,Norway," 21,126", 14Â June 1972,"Stavanger,Norway",                                        Oil & Gas Integrated                                    ,$122.74 B,Equinor ASA,EQNR
851,,Hong Kong," 23,000",,"Central,HongKong",InsuranceâLife,$125.16 B,AIA Group Ltd,1299
852, Mr. James D. Taiclet Jr.,United States," 114,000"," MarchÂ 15, 1995","Bethesda,MD,UnitedStates",Aerospace & Defense,$124.98 B,Lockheed Martin Corporation,LMT
853, Mr. D. James Umpleby III,United States," 107,700"," AprilÂ 15, 1925","Deerfield,IL,UnitedStates",Farm & Heavy Construction Machinery,$124.13 B,Caterpillar Inc.,CAT
854,,Belgium," 169,339",,"Leuven,Belgium",BeveragesâBrewers,$123.59 B,Anheuser-Busch InBev SA/NV,ABI
855, Mr. Sidney  Toledano,France," 119,243",,"Paris,France",Luxury Goods,$122.11 B,Christian Dior SE,CDI
856," Mr. Jakob  Stausholm M.S., MS",United Kingdom," 49,000", 1873,"London,UnitedKingdom",Other Industrial Metals & Mining,$125.84 B,Rio Tinto Group,RIO
857, Mr. Kenichiro  Yoshida,Japan," 109,700", 7Â May 1946,"Tokyo,Japan",Consumer Electronics,$126.64 B,Sony Group Corporation,6758
858, Mr. David L. Calhoun,United States," 142,000"," JulyÂ 15, 1916","Chicago,IL,UnitedStates",Aerospace & Defense,$110.46 B,The Boeing Company,BA
859, Mr. Oscar Garcia Maceiras,Spain," 104,431",,"Corunna,Spain",Apparel Retail,$110.65 B,"Industria de DiseÃ±o Textil, SA",ITX
860," Mr. Scott  Charlton M.B.A., BSci, BEng (Elec), MBA, Member of FEI, FTA",Australia, 672," 14 March 1996, Melbourne","Melbourne,VIC,Australia",Infrastructure Operations,$110.79 B,Transurban Group,TCL
861, Mr. David  Solomon,United States," 43,900", 1869,"NewYork,NY,UnitedStates",Capital Markets,$112.71 B,"The Goldman Sachs Group, Inc.",GS
862,,Japan," 8,380",,"Osaka,Japan",Scientific & Technical Instruments,$113.20 B,Keyence Corp,6861
863, Mr. Xing  Wang,China," 69,205",,"Beijing,China",Internet Retail,$114.28 B,Meituan,3690
864,,China," 104,160", 1949,"Beijing,China",InsuranceâLife,$97.31 B,China Life Insurance Company Limited,LFC
865, Mr. Sasan K. Goodarzi,United States," 13,500", 1983,"MountainView,CA,UnitedStates",SoftwareâApplication,$126.77 B,Intuit Inc.,INTU
866, Mr. Rainer M. Blair,United States," 78,000", 1969,"Washington,DC,UnitedStates",Diagnostics & Research,$208.03 B,Danaher Corporation,DHR
867, Mr. Robert M. Davis J.D.,United States," 67,000", 1891,"Kenilworth,NJ,UnitedStates",Drug ManufacturersâGeneral,$210.38 B,"Merck & Co., Inc.",MRK
868," Mr. Mike P. Henry B.Sc., BSc (Chem)",Australia," 40,110", 1885,"Melbourne,VIC,Australia",Other Industrial Metals & Mining,$211.25 B,BHP Group,BHP
869, Mr. John J. Donahoe II,United States," 73,300"," JanuaryÂ 25, 1964","Beaverton,OR,UnitedStates",Footwear & Accessories,$213.60 B,"Nike, Inc.",NKE
870, Mr. Robert B. Ford,United States," 113,000", 1888,"NorthChicago,IL,UnitedStates",Medical Devices,$215.02 B,Abbott Laboratories,ABT
871, Mr. Hans E. Vestberg,United States," 118,400"," OctoberÂ 7, 1983","NewYork,NY,UnitedStates",Telecom Services,$216.68 B,Verizon Communications Inc.,VZ
872, Mr. Brian L. Roberts,United States," 189,000"," JuneÂ 28, 1963","Philadelphia,PA,UnitedStates",Entertainment,$218.90 B,Comcast Corporation,CMCSA
873, Ms. Julie T. Spellman Sweet,Ireland," 699,000", 1989,"Dublin,Ireland",Information Technology Services,$219.03 B,Accenture plc,ACN
874, Mr. Nicolas  Hieronimus,France," 85,400",,"Clichy,France",Household & Personal Products,$225.24 B,L'OrÃ©al SA,OR
875, Ms. Safra Ada Catz,United States," 132,000"," JuneÂ 16, 1977","RedwoodCity,CA,UnitedStates",SoftwareâInfrastructure,$228.18 B,Oracle Corporation,ORCL
876, Mr. Marc N. Casper,United States," 130,000", 1956,"Waltham,MA,UnitedStates",Diagnostics & Research,$236.15 B,Thermo Fisher Scientific Inc.,TMO
877, Mr. Charles H. Robbins,United States," 79,500"," DecemberÂ 10, 1984","SanJose,CA,UnitedStates",Communication Equipment,$238.45 B,"Cisco Systems, Inc.",CSCO
878, Mr. Ramon Luis Laguarta,United States," 309,000"," AugustÂ 28, 1898","Purchase,NY,UnitedStates",BeveragesâNon-Alcoholic,$241.05 B,"PepsiCo, Inc.",PEP
879, Mr. Robert A. Chapek,United States," 152,000"," OctoberÂ 16, 1923","Burbank,CA,UnitedStates",Entertainment,$247.88 B,The Walt Disney Company,DIS
880,,China," 439,787",,"Beijing,China",Banks,$250.37 B,Industrial & Commercial Bank of China Ltd,601398
881, Mr. Lars Fruergaard Jorgensen,Denmark," 47,792"," DecemberÂ 21, 1923","Bagsvaerd,Denmark",Biotechnology,$257.24 B,Novo Nordisk A/S,NOVO.B
882, Mr. W. Craig Jelinek,United States," 288,000"," JulyÂ 12, 1976","Issaquah,WA,UnitedStates",Discount Stores,$258.15 B,Costco Wholesale Corporation,COST
883, Mr. Hock E. Tan,United States," 20,000", 1961,"SanJose,CA,UnitedStates",Semiconductors,$265.27 B,Broadcom Inc.,AVGO
884, Mr. David A. Ricks,United States," 35,000", 1876,"Indianapolis,IN,UnitedStates",Drug ManufacturersâGeneral,$273.01 B,Eli Lilly and Company,LLY
885, Mr. James Robert B. Quincey,United States," 79,000"," JanuaryÂ 29, 1892","Atlanta,GA,UnitedStates",BeveragesâNon-Alcoholic,$273.20 B,The Coca-Cola Company,KO
886, Mr. Peter T. F. M. Wennink,Netherlands," 29,861", 1984,"Veldhoven,Netherlands",Semiconductor Equipment & Materials,$274.35 B,ASML Holding N.V.,ASML
887, Mr. Yong  Zhang,China," 259,316", 28Â June 1999,"Hangzhou,China",Internet Retail,$290.40 B,Alibaba Group Holding Limited,9988
888, Mr. Richard A. Gonzalez,United States," 50,000", 2013,"NorthChicago,IL,UnitedStates",Drug ManufacturersâGeneral,$294.27 B,AbbVie Inc.,ABBV
889," Dr. Albert  Bourla D.V.M., DVM, Ph.D.",United States," 79,000", 1849,"NewYork,NY,UnitedStates",Drug ManufacturersâGeneral,$300.79 B,Pfizer Inc.,PFE
890, Mr. Michael K. Wirth,United States," 42,595"," SeptemberÂ 10, 1879","SanRamon,CA,UnitedStates",Oil & Gas Integrated,$315.13 B,Chevron Corporation,CVX
891, Mr. Edward P. Decker,United States," 490,600"," FebruaryÂ 6, 1978","Atlanta,GA,UnitedStates",Home Improvement Retail,$321.47 B,"The Home Depot, Inc.",HD
892,,China," 29,031",,"Renhuai,China",BeveragesâWineries & Distilleries,$348.22 B,Kweichow Moutai Co. Ltd,600519
893, Mr. Darren W. Woods,United States," 63,000"," NovemberÂ 30, 1999","Irving,TX,UnitedStates",Oil & Gas Integrated,$348.72 B,Exxon Mobil Corporation,XOM
894, Dr. Severin  Schwan Ph.D.,Switzerland," 100,920",,"Basel,Switzerland",Drug ManufacturersâGeneral,$349.50 B,Roche Holding AG,ROG
895, Mr. Brian Thomas Moynihan,United States," 208,000", 1998,"Charlotte,NC,UnitedStates",Banks,$350.84 B,Bank of America Corporation,BAC
896, Mr. Michael  Miebach,United States," 24,000", 1966,"Purchase,NY,UnitedStates",Credit Services,$358.60 B,Mastercard Incorporated,MA
897, Mr. Bernard  Arnault,France," 148,343",,"Paris,France",Luxury Goods,$359.26 B,"LVMH MoÃ«t Hennessy - Louis Vuitton, SE",MC
898, Mr. Jong-Hee  Han,South Korea,,,"Suwon-si,SouthKorea",Consumer Electronics,$378.35 B,"Samsung Electronics Co., Ltd.",005930
899, Mr. Jon R. Moeller,United States," 101,000"," OctoberÂ 31, 1837","Cincinnati,OH,UnitedStates",Household & Personal Products,$384.60 B,The Procter & Gamble Company,PG
900, Mr. James  Dimon,United States," 271,025"," DecemberÂ 1, 2000","NewYork,NY,UnitedStates",Banks,$410.84 B,JPMorgan Chase & Co.,JPM
901, Mr. C. Douglas McMillon,United States," 2,300,000"," JulyÂ 2, 1962","Bentonville,AR,UnitedStates",Discount Stores,$429.05 B,Walmart Inc.,WMT
902, Mr. Huateng Pony  Ma,China," 112,771",,"Shenzhen,China",Internet Content & Information,$441.17 B,Tencent Holdings Ltd,0700
903, Mr. Joaquin  Duato,United States," 141,700", JanuaryÂ 1886,"NewBrunswick,NJ,UnitedStates",Drug ManufacturersâGeneral,$475.93 B,Johnson & Johnson,JNJ
904, Mr. Alfred Francis Kelly Jr.,United States," 21,500"," SeptemberÂ 18, 1958","SanFrancisco,CA,UnitedStates",Credit Services,$486.77 B,Visa Inc.,V
905, Sir Andrew Philip Witty,United States," 350,000", 1977,"Minnetonka,MN,UnitedStates",Healthcare Plans,$488.52 B,UnitedHealth Group Incorporated,UNH
906, Dr. C. C.  Wei,Taiwan," 54,193"," Industrial Technology Research Institute, Hsinchu, Taiwan.1987","Hsinchu,Taiwan",Semiconductors,$527.89 B,Taiwan Semiconductor Manufacturing Company Limited,2330
907, Mr. Mark Elliot Zuckerberg,United States," 71,970"," JanuaryÂ 4, 2004","MenloPark,CA,UnitedStates",Internet Content & Information,$617.50 B,"Meta Platforms, Inc.",META
908, Mr. Jen-Hsun  Huang,United States," 22,473"," AprilÂ 5, 1993","SantaClara,CA,UnitedStates",Semiconductors,$660.38 B,Nvidia Corporation,NVDA
909, Mr. Warren E. Buffett,United States," 372,000", 1839,"Omaha,NE,UnitedStates",Financial Conglomerates,$798.47 B,Berkshire Hathaway Inc.,BRK.A
