address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"U 2 170-180 Bourke Rd, Alexandria, New South Wales, 2015",Australia,Consumer Packaged Goods,$2.1B,Breville Group Ltd,610,$1.1B,61 2 93848100,www.brevillegroup.com.au
"Akasaka Intercity Air, 1-8-1, Akasaka, Minato-Ku, Tokyo, 107-0052",Japan,Technology and Communications,$1.1B,SKY Perfect JSAT Holdings Inc,841,$1.1B,81 3 55711500,www.skyperfectjsat.space/company/resume/sjh
"118 2nd Ave Se, Cedar Rapids, Iowa, 52401-1212",United States of America,Financial Services,$756.2M,United Fire Group Inc,"1,086",$1.1B,1 319 3995700,www.ufginsurance.com
"P.O.Box 14, Building 1095, Block 1014, Road 1425, Hamala, Manama, 1014",Bahrain,Technology and Communications,$2.0B,Bahrain Telecommunications Co BSC,"2,486",$1.1B,973 1 7881881,www.batelco.com
"Varta-Platz 1, Ellwangen, 73479",Germany,Alternative Energy,$1.2B,Varta AG,"4,712",$1.1B,49 7961 9210,www.varta-ag.com
"Suite 1550, 3490 Piedmont Road N.E., Atlanta, Georgia, 30305",United States of America,Financial Services,$3.3B,Ameris Bancorp,"2,865",$1.1B,1 404 6396500,www.amerisbank.com
"No. 1 Baisheng Road, Development Zone, Danyang City, Zhenjiang, Jiangsu, 212300",China,Medical Equipment,$4.6B,Jiangsu Yuyue Medical Equipment & Supply Co Ltd,"6,440",$1.1B,86 511 86900876,www.yuyue.com.cn
"Asiainfo Plaza, Dong Qu, 10 Xibeiwang Dong Lu, Haidian District, Beijing, 100193",China,Technology and Communications,$1.7B,AsiaInfo Technologies Ltd,"13,309",$1.1B,,www.asiainfo.com
"Suite 400, 1 Choice Hotels Circle, Rockville, Maryland, 20850",United States of America,Leisure and Arts,$6.4B,Choice Hotels International Inc,"1,500",$1.1B,1 301 5925181,www.choicehotels.com/en-in
"Bei Jiao Ma Bao Dao 28 Hao, Hua Hui Zhong Xin 27 Lou, Kowloon Bay, Hong Kong",Hong Kong,Retailing,$289.7M,Esprit Holdings Ltd,"2,200",$1.1B,852  27654321,www.esprit.com
"30f, Marunouchi Bldg., 2-4-1, Marunouchi, Chiyoda-Ku, Tokyo, 100-6221",Japan,Pharmaceuticals and Healthcare,$2.6B,Hisamitsu Pharmaceutical Co Inc,"2,784",$1.1B,81 3 52931700,www.hisamitsu.co.jp
"Manfred-Fuchs-Platz 2-4, Bremen, 28359",Germany,Aerospace and Defense,$642.8M,OHB SE,"3,077",$1.1B,49 421 20208,www.ohb.de
"300 United Center, , 500 Virginia Street E, Charleston, West Virginia, 25301",United States of America,Financial Services,$5.2B,United Bankshares Inc,"2,966",$1.1B,1 740 7351104,www.ubsi-inc.com
"511 Church Street, Richmond, Victoria, 3121",Australia,Media,$11.4B,REA Group Ltd,"3,103",$1.1B,61 3 98971121,www.rea-group.com
"100 Clarence Beach Road, Henderson, Perth, 6166",Australia,Transport and Logistics,$452.0M,Austal Ltd,"5,000",$1.1B,61 8 94101111,www.austal.com
"Po Box 842, Port Moresby, 121",Papua New Guinea,Energy and Utilities,,Oil Search Ltd,"1,243",$1.1B,675 3 225599,www.oilsearch.com
"7900, Boul. Henri-Bourassa Ouest, Montreal, Quebec, H4S1V4",Canada,Consumer Packaged Goods,$1.5B,Richelieu Hardware Ltd,"2,800",$1.1B,1 514 3364144,www.richelieu.com
"100 E. Vine St, Murfreesboro, Tennessee, 37130",United States of America,Pharmaceuticals and Healthcare,$892.7M,National HealthCare Corp,"12,965",$1.1B,1 615 8902020,nhccare.com
"Voltas House, A' Block, Dr. Babasaheb Ambedkar Road, Mumbai, 400033",India,Industrial Goods and Machinery,$3.3B,Voltas Ltd,"8,343",$1.1B,91 22 66656666,www.voltas.com
"1600 West Merit Park Way, South Jordan, Utah, 84095",United States of America,Medical Equipment,$4.0B,Merit Medical Systems Inc,"6,446",$1.1B,1 801 2531600,www.merit.com
"100 Brookwood Pl, Birmingham, Alabama, 35209-6811",United States of America,Financial Services,$1.0B,ProAssurance Corp,"1,021",$1.1B,1 205 8774400,www.proassurance.com
"26th July St., Touristic Zone, 6th Of October, Giza, 12568",Egypt,Technology and Communications,$199.7M,Raya Holding for Financial Investment SAE,"10,127",$1.1B,20 2 38276000,rayacorp.com
"1177 Avenue Of The Americas, New York, 10036-2714",United States of America,Financial Services,$17.1B,Tradeweb Markets Inc,"1,046",$1.1B,1 646 4306000,www.tradeweb.com
"Middle Section, Tianhe Road, Zhengzhou, Henan, 450044",China,Consumer Packaged Goods,$2.3B,Sanquan Food Co Ltd,"7,652",$1.1B,86 371 63987832,www.sanquan.com
"4th Floor, No. 1, R&D 2nd Road, Science Based Industrial Park, Baoshan, 300",Taiwan,Technology and Communications,$897.7M,Getac Holdings Corp,"11,500",$1.1B,886 2 27857888,www.getac.com.tw
"Antonio Dovali Jaime 70, Samara Torre B, Piso 11, Colonia Centro Ciudad Santa Fe, 01219",Mexico,Construction,$5.0B,Fibra Uno Administracion SA de CV,317,$1.1B,52 55 41707070,funo.mx
"Heiwa Honsha Bldg., 1-16-1, Higashi Ueno, Taito-Ku, Tokyo, 110-0015",Japan,Technology and Communications,$1.8B,Heiwa Corp,"5,484",$1.1B,81 3 38390077,www.heiwanet.co.jp
"F&N Point, No. 3 Jalan Metro Pudu 1, Off Jalan Yew, Fraser Business Park, Kuala Lumpur, 55100",Malaysia,Consumer Packaged Goods,$2.0B,Fraser & Neave Holdings Bhd,"2,454",$1.1B,60 3 92352288,www.fn.com.my
"Suite 1501, 700 West Pender St., Vancouver, British Columbia, V6C1G8",Canada,Metals and Mining,$1.2B,Equinox Gold Corp,683,$1.1B,1 604 5580560,www.equinoxgold.com
"Kamla Tower, Kanpur, 208001",India,Construction,$2.8B,J.K. Cement Ltd,"3,941",$1.1B,91 512 2371478,www.jkcement.com
"25 Ermou Str., Ermou Str. 25, Kifissia, Athina, 14564",Greece,Construction,$774.1M,Ellaktor SA,"5,340",$1.1B,30 21 08185000,ellaktor.com
"100, Hsin Yi Road Sec. 5, Taipei, 115",Taiwan,Transport and Logistics,$5.4B,Taiwan High Speed Rail Corp,"4,608",$1.1B,886 2 87892000,www.thsrc.com.tw
"No. 10 Yurun Road, Jianye District, Nanjing, Jiangsu, 210041",China,Consumer Packaged Goods,$88.6M,China Yurun Food Group Ltd,"1,100",$1.1B,86 25 56677150,www.yurun.com.hk
"4350 Congress Street, Suite 600, Charlotte, North Carolina, 28209",United States of America,Paper and Packaging,$149.6M,P H Glatfelter Co,"3,250",$1.1B,1 717 2252709,www.glatfelter.com
"78 Sw 7th St, Suite 900, Miami, Florida, 33130",United States of America,Business and Consumer Services,$1.7B,Laureate Education Inc,"14,000",$1.1B,1 410 8436100,www.laureate.net
"660 White Plains Road, Tarrytown, New York, 10591",United States of America,Consumer Packaged Goods,$3.3B,Prestige Consumer Healthcare Inc,535,$1.1B,1 914 5246800,www.prestigebrands.com
"Suite 300, 7755 Center Avenue, Huntington Beach, California, 92647",United States of America,Leisure and Arts,$730.5M,BJ's Restaurants Inc,"21,000",$1.1B,1 714 5002440,www.bjsrestaurants.com
"No. 1, Jiefang West Road, Yuzhong District, Beijing, 100082",China,Alternative Energy,$4.4B,CECEP Solar Energy Co Ltd,"1,859",$1.1B,86 10 83052461,www.cecsec.cn
"Peninsula House, Rydon Lane, Exeter, EX27HR",United Kingdom,Alternative Energy,$3.0B,Pennon Group Plc,"2,636",$1.1B,44 1392 446677,www.pennon-group.co.uk
"Tang 1 (Tang Tret) Va Tang 2 Toa Nha Sai, So 111a Pasteur, Phuong Ben Nghe, Quan 1, Ho Chi Minh",Vietnam,Financial Services,$2.1B,Vietnam International Commercial Joint Stock Bank,"11,340",$1.1B,84 4 62760068,www.vib.com.vn
"851 Building, No.58, Wenquan Branch Road, Fuzhou, Fujian, 350001",China,Technology and Communications,$1.2B,NetDragon Websoft Holdings Ltd,"4,784",$1.1B,86 591 87085777,www.netdragon.com
"22nd Floor, Allied Kajima Building, 138 Gloucester Road, Wanchai, Hong Kong",Hong Kong,Financial Services,$822.7M,Allied Group Ltd,"4,020",$1.1B,852  25192288,www.alliedgroup.com.hk
"120 Holger Way, San Jose, California, 95134",United States of America,Technology and Communications,$16.3B,Zscaler Inc,"4,975",$1.1B,1 408 5330288,www.zscaler.com
"104000 Clean Street, Eden Prairie, Minnesota, 55344",United States of America,Industrial Goods and Machinery,$1.2B,Tennant Co,"4,263",$1.1B,1 763 5401200,www.tennantco.com
"21- Rajendra Place, New Delhi, 110008",India,Financial Services,$2.6B,Punjab & Sind Bank,"8,735",$1.1B,91 11 25782926,punjabandsindbank.co.in
"Company Building, Ahmad Al Jaber Street,  Sharq Safat, P.O.Box 1040, Kuwait City, 13011",Kuwait,Financial Services,$945.4M,Gulf Insurance Group KSCP,"3,831",$1.1B,965  1802080,www.gulfinsgroup.com
"Rua Mar De Espanha, 525, Bairro Santo Antonio, Belo Horizonte, 30.330-900",Brazil,Environmental and Waste Management Services,$1.1B,Companhia de Saneamento de Minas Gerais,"10,572",$1.1B,55 31 32501548,www.copasa.com.br
"450 Al Ahram Street, Giza, 12211",Egypt,Consumer Packaged Goods,$1.3B,Eastern Co SAE,"16,643",$1.1B,20 2 35724711,www.easternegypt.com
"14817 Oak Ln, Miami Lakes, Florida, 33016-1517",United States of America,Financial Services,$2.6B,BankUnited Inc,"1,465",$1.1B,1 305 5692000,www.bankunited.com
"500 Freeport Pkwy, Coppell, Texas, 75019",United States of America,Retailing,$250.6M,The Container Store Group Inc,"2,300",$1.1B,1 972 5386000,investor.containerstore.com/about/overview/default
"Byblos Bank Tower, Elias Sarkis Avenue, Achrafieh Area, P.O. Box 1353530, Beirut, 11072811",Lebanon,Financial Services,$554.2M,Byblos Bank SAL,"1,520",$1.1B,961 1 335200,www.byblosbank.com
"Iganmu House, 1 Abebe Village Road,  Iganmu, Po Box 545, Lagos",Nigeria,Consumer Packaged Goods,$1.1B,Nigerian Breweries Plc,"2,740",$1.1B,234 1 2717400,www.nbplc.com
"499 Illinois St Ste 500, San Francisco, California, 94158-2521",United States of America,Pharmaceuticals and Healthcare,$3.5B,Vir Biotechnology Inc,444,$1.1B,1 415 9064324,www.vir.bio
"1241 E Main St, Stamford, Connecticut, 6902",United States of America,Media,$6.6B,World Wrestling Entertainment Inc,870,$1.1B,1 203 3528600,corporate.wwe.com
"120 Corporate Blvd Ste 100, Norfolk, Virginia, 23502",United States of America,Financial Services,$1.4B,PRA Group Inc,"3,361",$1.1B,1 757 5199300,www.pragroup.com
"6595 S Jones Blvd, Las Vegas, Nevada, 89118-3337",United States of America,Leisure and Arts,$1.1B,Golden Entertainment Inc,"6,300",$1.1B,1 702 8914284,www.goldenent.com
"Wiesenweg 22, Landau An Der Isar, 94405",Germany,Consumer Packaged Goods,$253.1M,Einhell Germany AG,"1,956",$1.1B,49 9951 9420,www.einhell.com
"3185 Laurelview Ct, Fremont, California, 94538-6535",United States of America,Technology and Communications,$905.6M,Ichor Holdings Ltd,"1,850",$1.1B,1 510 8975200,www.ichorsystems.com
"1725 Shepherd Rd, Chattanooga, Tennessee, 37421-2947",United States of America,Industrial Goods and Machinery,$874.9M,Astec Industries Inc,"4,041",$1.1B,1 423 8995898,www.astecindustries.com
"1415 Vantage Park Drive, Suite 700, Charlotte, North Carolina, 28203",United States of America,Financial Services,$383.2M,LendingTree Inc,"1,407",$1.1B,1 704 5415351,www.lendingtree.com
"100 Nagog Park, Acton, Massachusetts, 01720-3440",United States of America,Medical Equipment,$20.1B,Insulet Corp,"2,300",$1.1B,1 978 6007000,www.omnipod.com
"Scud Industrial Park, No. 98 Jiangbin Dong Avenue, Fuzhou, Fujian, 350015",China,Clean Technology,$39.7M,Veson Holdings Ltd,"3,155",$1.1B,86 591 63158888,www.scudgroup.com
"Cr 43 A 1 A Sur 143 Piso 5, Medellin",Colombia,Power,$661.7M,Celsia SA ESP,"1,429",$1.1B,57 4 3266600,www.celsia.com/es
"Marstons House, Brewery Road, Wolverhampton, WV14JT",United Kingdom,Leisure and Arts,$324.8M,Marston's PLC,"11,089",$1.1B,44 1902 711811,www.marstonspubs.co.uk
"Ul. Lopuszanska 38d, Warszawa, 02-232",Poland,Financial Services,$1.2B,Alior Bank SA,"7,678",$1.1B,48 12 3707000,www.aliorbank.pl
"1-16-2, Fujisaki, Tsuchiura-Shi, Ibaraki , 300-0813",Japan,Retailing,$1.0B,Joyful Honda Co Ltd,"1,943",$1.1B,81 29 8222215,www.joyfulhonda.com
"R Nova Cidade 404, Vila Olimpia, Sao Paulo, 04.547-070",Brazil,Pharmaceuticals and Healthcare,$5.4B,Hypera SA,"9,000",$1.1B,55 62 38788150,www.hypera.com.br
"2101 Riverfront Drive, Suite A, Little Rock, Arkansas, 72202",United States of America,Construction,$1.4B,Uniti Group Inc,754,$1.1B,1 501 8500820,uniti.com
"Av. Nueva Tajamar 481, Torre Norte, Providencia, Santiago, 7550099",Chile,Consumer Packaged Goods,$925.9M,Vina Concha y Toro SA,"3,228",$1.1B,56 2 4765200,www.conchaytoro.com/es
"701-704, 7f,Skyline Icon Business Park, 86-92 Offandheri Kurla Rd, Marol Village, Andheri Eas, Mumbai, 400059",India,Retailing,$3.1B,Aditya Birla Fashion and Retail Ltd,"24,818",$1.1B,,www.abfrl.com
"116, Wolmi-Ro, Jung-Gu, Incheon, 22300",South Korea,Consumer Packaged Goods,$212.8M,TS Corp,572,$1.1B,82 2 4106000,www.ts.co.kr
"24275 Katy Freeway, Suite 600, Texas, 77494",United States of America,Metals and Mining,$885.8M,U.S. Silica Holdings Inc,"1,863",$1.1B,1 301 6820600,www.ussilica.com
"Alte Heerstrasse 40, Wiesloch, 69168",Germany,Financial Services,$653.7M,MLP SE,"2,258",$1.1B,49 6222 3080,mlp-se.de
"No. 690, Jiefang Avenue, Jianghan District, Wuhan, Hubei, 430022",China,Retailing,$1.2B,Wuhan Department Store Group Co Ltd,"9,373",$1.1B,86 27 85714295,www.wushang.com.cn
"Tonne Kjaersvej 65, Fredericia, 7000",Denmark,Power,,Energinet.dk,"1,155",$1.1B,45 70 102244,www.energinet.dk
"Suite 500, 6050 Oak Tree Boulevard, South, Cleveland, Ohio, 44131",United States of America,Business and Consumer Services,$2.4B,CBIZ Inc,"6,000",$1.1B,1 216 4479000,www.cbiz.com
"614 Mckinley Pl N E, Minneapolis, Minnesota, 55413",United States of America,Medical Equipment,$12.6B,Bio-Techne Corp,"3,000",$1.1B,1 612 3798854,www.bio-techne.com
"Al Itihad Road, Deira,  2668, P.O. Box, Dubai",United Arab Emirates,Financial Services,$3.7B,Commercial Bank of Dubai PSC,"1,110",$1.1B,971 4 2121000,www.cbd.ae
"8711 River Crossing Blvd, Indianapolis, 46240",United States of America,Construction,$18.6B,Duke Realty Corp,340,$1.1B,1 317 8086000,www.dukerealty.com
"Jsw Centre, Bandra Kurla Complex, Bandra (East), Mumbai, 400051",India,Power,$5.3B,JSW Energy Ltd,"1,603",$1.1B,91 22 42861000,www.jsw.in/energy
"Units 3302, The Center, 99 Queen's Road Central, Hong Kong",Hong Kong,Pharmaceuticals and Healthcare,$2.2B,Grand Pharmaceutical Group Ltd,"9,649",$1.1B,852 2 8663718,chinagrandpharm.com
"Tekko Bldg., 1-8-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-8207",Japan,Metals and Mining,$226.4M,Toho Zinc Co Ltd,"1,051",$1.1B,81362121711,www.toho-zinc.co.jp
"Avenida Manuel J. Clouthier No. 402, Colonia Jardines De Campestre, Leon, 37128",Mexico,Financial Services,$4.3B,Banco del Bajio SA,,$1.1B,52 477 7104699,www.bb.com.mx
"2500 Columbia Ave, Lancaster, Pennsylvania, 17603",United States of America,Construction,$3.4B,Armstrong World Industries Inc,"2,960",$1.1B,1 717 3970611,www.armstrong.com
"20th Km, Hosur Road, Electronics City, Bangalore, 560100",India,Pharmaceuticals and Healthcare,$3.6B,Biocon Ltd,"3,203",$1.1B,91 80 28082808,www.biocon.com
"Ibl House Caudan Waterfront, Port Louis",Mauritius,Financial Services,$762.7M,IBL Ltd,"24,404",$1.1B,230 203 2000,www.iblgroup.com
"3-7, Odori-Nishi, Chuo-Ku, Sapporo-Shi, Hokkaido, 060-0042",Japan,Financial Services,$831.6M,North Pacific Bank Ltd,"2,976",$1.1B,81 11 2611311,www.hokuyobank.co.jp
"1 Rayonier Way, Jacksonville, Florida, 32097",United States of America,Construction,$5.0B,Rayonier Inc,406,$1.1B,1 904 3579100,www.rayonier.com
"No. 30, Ta Cheng Street, Neighborhood 9, Yuchuan Li, Datong District, Taipei, 103",Taiwan,Financial Services,$3.6B,Taiwan Business Bank Co Ltd,"5,617",$1.1B,886 2 25597171,www.tbb.com.tw
"Gate 4, Godrej & Boyce Complex, Pirojshanagar, Vikroli(W), Mumbai, 400079",India,Technology and Communications,$4.0B,WNS (Holdings) Ltd,"52,081",$1.1B,91 22 40812882,www.wns.com/about-wns
"Tamachi Station Tower N, Msb Tamachi, 3-1-1, Shibaura, Minato-Ku, Tokyo, 108-0023",Japan,Technology and Communications,$533.6M,SATO Holdings Corp,"5,656",$1.1B,81 3 66282400,www.sato.co.jp
"2f, No.531, Chung Cheng Road, Hsin-Tien District, New Taipei, 231",Taiwan,Technology and Communications,$268.9M,"Senao International Co., Ltd.","3,752",$1.1B,886 2 22183588,www.senao.com.tw
"The Pivot No 1 Monte Casino Boulavard, Block C 4th Floor Fourways, Johannesburg, 2021",South Africa,Metals and Mining,$2.8B,Royal Bafokeng Platinum Ltd,"11,158",$1.1B,27 11 5308040,www.bafokengplatinum.co.za
"7th Floor,Centerpoint Building, Ortigas Business Center, Metro Manila, Julia Vargas Corner Garnet Street, Pasig, 1605",Philippines,Consumer Packaged Goods,$1.6B,Century Pacific Food Inc,"18,753",$1.1B,63 2 86338555,centurypacific.com.ph
"Karenslyst Alle 53, Oslo, 0279",Norway,Paper and Packaging,$655.7M,Elopak AS,"2,600",$1.1B,47 31 271000,www.elopak.com
"2121 Rdu Center Drive, Suite 300, Morrisville, North Carolina, 27560",United States of America,Technology and Communications,$2.5B,Extreme Networks Inc,"2,643",$1.1B,1 408 5792800,www.extremenetworks.com
"2200 West Airfield Drive, P.O. Box 619810, Dallas Fort Worth Airport, Texas, 75261-9810",United States of America,Media,$696.7M,Thryv Holdings Inc,"2,630",$1.1B,1 972 4537000,www.thryv.com
"5301 Hollister Street, Houston, Texas, 77040",United States of America,Industrial Goods and Machinery,$550.7M,DXP Enterprises Inc,"2,490",$1.1B,1 713 9964700,www.dxpe.com
"Vosslohstrasse 4, Werdohl, 58791",Germany,Construction,$803.7M,Vossloh AG,"3,792",$1.1B,49 2392 520,www.vossloh.com
"11f, No.2, Section 2, Tun Hwa South Road Da'An District, Taipei, 106",Taiwan,Automotive,$1.0B,China Motor Corporation,"4,779",$1.1B,886 2 23250000,www.china-motor.com.tw
"No.4 Huanggushan Road, Hangzhou, Zhejiang, 310012",China,Technology and Communications,$7.3B,Hangzhou Silan Microelectronics Co Ltd,"6,880",$1.1B,86 571 88210880,www.silan.com.cn
"Suite 601/701, Europort Road, Europort, Gibraltar City",United Kingdom,Leisure and Arts,$526.5M,888 Holdings Plc,"1,764",$1.1B,350 200 49800,corporate.888.com
"Wisma Budi Lantai 8-9, Jl. H.R. Rasuna Said Kav. C-6, Jakarta, 12940",Indonesia,Chemicals,$241.4M,PT Tunas Baru Lampung Tbk,"2,838",$1.1B,62 21 5213383,www.tunasbarulampung.com
"Saaruferstrasse, Mettlach, 66693",Germany,Consumer Packaged Goods,$293.3M,Villeroy & Boch AG,"6,408",$1.1B,49 6864 810,www.villeroyboch-group.com
"80, Itado, Isehara-Shi, Kanagawa, 259-1192",Japan,Automotive,$274.3M,"Ichikoh Industries, Ltd.","3,519",$1.1B,81 46 3961451,www.ichikoh.com
"Avenue du Bourget 44, Brussels, Bruxelles-Capitale , B1130",Belgium,Leisure and Arts,,Radisson Hospitality AB,"4,431",$1.1B,32 2 7029200,www.radissonhospitalityab.com/
"Christen Tranes Gate 35, Stavanger, 4007",Norway,Financial Services,$3.0B,SpareBank 1 SR-Bank ASA,"1,510",$1.1B,47 91 502002,www.sparebank1.no/nb/bank
"Suite 300, 10910 Domain Drive, Austin, Texas, 78758",United States of America,Medical Equipment,,Hanger Inc,"5,200",$1.1B,1 512 7773800,corporate.hanger.com/about
"2a, Argyroupoleos Str., Kallithea, Athina, 17676",Greece,Technology and Communications,$615.6M,Quest Holdings SA,"2,383",$1.1B,30 21 19994000,www.quest.gr
"Building A, No. 112 Yongfu Road, Qiaotou Community, Fuyong Street, Baoan District, Shenzhen, Guangdong, 518103",China,Construction,$948.3M,Unilumin Group Co Ltd,"5,876",$1.1B,86 755 29918999,www.unilumin.cn
"Suite 100, 1110 W. Commercial Blvd., Fort Lauderdale, Florida, 33309",United States of America,Financial Services,$371.0M,Universal Insurance Holdings Inc,"1,047",$1.1B,1 954 9581200,universalinsuranceholdings.com
"3175 Century Way, Thorpe Park, Leeds, LS158ZB",United Kingdom,Construction,$706.9M,Renew Holdings Plc,"3,630",$1.1B,44 113 2814200,www.renewholdings.com
"320 Park Ave Fl 29, New York, 10022-6815",United States of America,Technology and Communications,$5.5B,ExlService Holdings Inc,"37,400",$1.1B,1 212 2777100,www.exlservice.com
"Industrivagen 3, Skinnskatteberg, 73930",Sweden,Construction,$1.6B,Systemair AB,"6,830",$1.1B,46 222 44000,www.systemair.com
"Bkt House,C/15, Trade World,Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai, 400011",India,Automotive,$5.3B,Balkrishna Industries Ltd,"3,229",$1.1B,91 22 66663800,www.bkt-tires.com
"Egco Tower,222 Moo 5, Vibhavadi Rangsit Road, Thungsonghong, Lak Si, Bangkok, 10210",Thailand,Power,$2.8B,Electricity Generating Public Co Ltd,388,$1.1B,66 29 985000,www.egco.com/en
"1, Bd Abdelmoumen, Casablanca, 20100",Morocco,Financial Services,$1.2B,Wafa Assurance SA,491,$1.1B,212 52 2545555,www.wafaassurance.ma
"Plot No B-2, M.I.D.C, Miraj Industrial Area, Mumbai, 400079",India,Agriculture and Forestry,$1.1B,Godrej Agrovet Ltd,"2,711",$1.1B,91 22 25194416,www.godrejagrovet.com
"Nawada, Fatehpur, Sikanderpur Badda Imt Manesar, Gurgaon, 122004",India,Automotive,$3.6B,UNO Minda Ltd,"5,766",$1.1B,91 124 2290693,unominda.com
"Ul. Stanislawa Zaryna 2a, Warszawa, 02-593",Poland,Financial Services,$1.4B,Bank Millennium SA,"6,778",$1.1B,48 22 5981110,www.bankmillennium.pl
"Level 7, 417 St Kilda Road, Melbourne, Victoria, 3004",Australia,Retailing,$3.0B,Premier Investments Ltd,"11,000",$1.1B,61 3 96506500,www.premierinvestments.com.au
"6060 Parkland Blvd Ste 250, Mayfield Heights, Ohio, 44124-4225",United States of America,Chemicals,$1.8B,Ferro Corp,"3,585",$1.1B,1 216 8755458,www.ferro.com
"Lippo Karawaci Central, Tangerang, 15811",Indonesia,Construction,$346.1M,PT Lippo Karawaci Tbk,"14,014",$1.1B,62 25 669000,www.lippokarawaci.co.id
